"address_zip","average_Discounted_Price"
"45806","32.84714285714286"
"21044","32.84714285714286"
"30549","32.84714285714286"
"10451","32.847142857142856"
"21206","32.847142857142856"
"44430","32.841888888888896"
"10128","32.8235"
"46214","32.82337037037038"
"99033","32.814354729729615"
"93720","32.80908095238087"
"46777","32.80820000000001"
"87120","32.802625000000006"
"42420","32.79265789473685"
"18976","32.79086864406769"
"45662","32.790064285714266"
"78852","32.765982758620694"
"78155","32.75667333333334"
"70503","32.749008928571435"
"24219","32.733069444444425"
"2452","32.73251515151515"
"19473","32.727"
"37922","32.71978378378378"
"22181","32.71727272727273"
"44138","32.71727272727273"
"84032","32.71727272727273"
"33150","32.71727272727273"
"94558","32.715075000000006"
"59701","32.7043142857143"
"60099","32.678726415094346"
"98294","32.664245161290246"
"33411","32.65675"
"44703","32.65666666666667"
